workerid,proliferate.condition,acceptability_rating,bg_response,block_id,condition,context,item_id,original_bg_choice,rt,task,trial_num,verb,wrong_attempts,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
77,condition1,0.89,NA,practice,practice_acceptability_good_1,Hanako said: Fiona didn't buy <strong>PINEAPPLES</strong>.,201,,,acceptability,0,NA,0,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,practice,practice_bg_good_2,Hanako said: Vera didn't <strong>DRIVE</strong> to Michigan.,202,How Vera travelled to Michigan.,,backgroundedness,0,NA,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.28,NA,practice,practice_accpetability_bad_2,Hanako said: Prisha doesn't speak <strong>KOREAN</strong>.,204,,,acceptability,0,NA,0,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,practice,practice_bg_bad_1,Hanako said: Hank didn't buy the <strong>RED</strong> car.,203,Which car Hank bought.,,backgroundedness,0,NA,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,0,filler_good_2,Hanako said: <strong>JESS</strong> didn't reveal that Todd went out with Betty.,111,Who revealed that Todd went out with Betty.,62945,backgroundedness,1,reveal,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.28,NA,0,embed_focus,Hanako said: Yash didn't whine that Ming forgot her <strong>PHONE</strong>.,9,NA,50596,acceptability,2,whine,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,0,filler_bad_1,Hanako said: Ben didn't expect that <strong>LAURA</strong> would order pizza.,118,"Who would order pizza, according to Ben.",24557,backgroundedness,3,expect,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.89,NA,0,verb_focus,Hanako said: Laura didn't <strong>MUTTER</strong> that Brandon broke his laptop.,4,NA,53019,acceptability,4,mutter,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,0,filler_bad_2,Hanako said: Jamal didn't expect that the book about <strong>ASTRONOMY</strong> was on the shelf.,124,"Which book was on the shelf, according to Jamal.",10497,backgroundedness,5,expect,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.83,NA,0,filler_good_1,Hanako said: Nancy didn't suspect that Julian ate the <strong>LAST CUPCAKE</strong>.,103,NA,22414,acceptability,6,suspect,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.91,NA,1,embed_focus,Hanako said: John didn't whisper that Mary met with the <strong>LAWYER</strong>.,1,NA,26943,acceptability,7,whisper,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,1,filler_good_2,Hanako said: <strong>RONALD</strong> didn't imply that Jacy rented the truck.,107,Who implied that Jacy rented the truck.,43848,backgroundedness,8,imply,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.97,NA,1,verb_focus,Hanako said: Fatima didn't <strong>MURMUR</strong> that Omar had dinner with his manager.,10,NA,12095,acceptability,9,murmur,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,1,filler_bad_1,Hanako said: Tim didn't suspect that <strong>JASON</strong> drank the beer. ,115,"Who drank the beer, according to Tim.",15193,backgroundedness,10,suspect,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.93,NA,1,filler_good_1,Hanako said: Hannah didn't say that George emailed the <strong>STUDENTS</strong>.,101,NA,25519,acceptability,11,say,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,1,filler_bad_2,Hanako said: Frankie didn't hope that the agent of the <strong>GUITARIST</strong> would show up. ,120,"Whose agent would show up, according to Frankie.",186865,backgroundedness,12,hope,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.93,NA,2,verb_focus,Hanako said: Igor didn't <strong>SHRIEK</strong> that Penny won the lottery.,11,NA,43250,acceptability,13,shriek,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,2,filler_bad_1,Hanako said: Emily didn't say that <strong>PAUL</strong> drafted the letter.,113,"Who drafted the letter, according to Emily.",24039,backgroundedness,14,say,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,2,filler_bad_2,Hanako said: Rui didn't imply that <strong>CAROL</strong>'s brother signed the contract.,119,"Whose brother signed the contract, according to Rui.",16433,backgroundedness,15,imply,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.92,NA,2,embed_focus,Hanako said: Howard didn't mumble that Alex bought a <strong>BIRTHDAY CAKE</strong>.,3,NA,11748,acceptability,16,mumble,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,2,filler_good_2,Hanako said: <strong>KATE</strong> didn't insist that Zack broke the plates.,109,Who insisted that Zack broke the plates.,12636,backgroundedness,17,insist,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.9,NA,2,filler_good_1,Hanako said: Danny didn't believe that Jennifer got a <strong>CAT</strong>.,105,NA,12173,acceptability,18,believe,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.92,NA,3,verb_focus,Hanako said: Ashley didn't <strong>GROAN</strong> that Hasan talked to the detectives.,8,NA,29452,acceptability,19,groan,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,3,filler_bad_1,Hanako said: Larry didn't believe that <strong>NICK</strong> cooked dinner.,117,"Who cooked dinner, according to Larry.",20097,backgroundedness,20,believe,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,3,filler_good_2,Hanako said: <strong>MATTHEW</strong> didn't hope that Dana brought a gift.,108,Who hoped that Dana brought a gift.,9896,backgroundedness,21,hope,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.99,NA,3,filler_good_1,Hanako said: Grace didn't sugguest that Karen wrote a <strong>BOOK</strong>.,104,NA,16338,acceptability,22,suggest,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,3,filler_bad_2,Hanako said: Jessie didn't guess that the assistant to the <strong>DIRECTOR</strong> would give the presentation.,122,"Whose assistant would give the presentation, according to Jessie.",21679,backgroundedness,23,guess,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,1,NA,3,embed_focus,Hanako said: Amy didn't scream that Charlie saw the <strong>ROBBER</strong>.,6,NA,17163,acceptability,24,scream,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,1,NA,4,embed_focus,Hanako said: Jake didn't yell that Yumi found the <strong>WALLET</strong>.,7,NA,15676,acceptability,25,yell,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,1,NA,4,filler_good_1,Hanako said: Ollie didn't think that Doug would invite the <strong>MAYOR</strong>.,102,NA,10242,acceptability,26,think,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,4,filler_bad_1,Hanako said: Tony didn't suggest that <strong>LISA</strong> was in the office.,116,"Who was in the office, according to Tony.",8239,backgroundedness,27,suggest,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,0.98,NA,4,verb_focus,Hanako said: Chandler didn't <strong>MOAN</strong> that Tia brought her parents.,12,NA,6193,acceptability,28,moan,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,4,filler_bad_2,Hanako said: Ted didn't insist that <strong>EVA</strong>'s uncle should stay for dinner. ,121,"Whose uncle should stay for dinner, according to Ted.",15778,backgroundedness,29,insist,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,NA,correct,4,filler_good_2,Hanako said: <strong>SALLY</strong> didn't expect that Tony would visit George.,112,Who expected that Tony would visit George.,10238,backgroundedness,30,expect,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
77,condition1,1,NA,5,embed_focus,Hanako said: Emma didn't stammer that Kevin lost the <strong>KEYS</strong>.,2,NA,6021,acceptability,31,stammer,,[],35,Yes,,2,1,Male,English,Chrome,Windows,768,1366,30.199616666666667,
