item,verb,condition,context_full,target_full,option_bg,option_fg
1,whisper,mos_verb_focus,Hanako said: John didn't WHISPER that Mary met with the lawyer.,Scott said: Then who did John whisper that Mary met with?,"Who Mary met with, according to John.",The way John said that Mary met with the lawyer.
2,stammer,mos_verb_focus,Hanako said: Emma didn't STAMMER that Kevin lost the keys.,Scott said: Then what did Emma stammer that Kevin lost?,"What Kevin lost, according to Emma.",The way Emma said that Kevin lost the keys.
3,mumble,mos_verb_focus,Hanako said: Howard didn't MUMBLE that Alex bought a birthday cake.,Scott said: Then what did Howard mumble that Alex bought?,"What Alex bought, according to Howard.",The way Howard said that Alex bought a birthday cake.
4,mutter,mos_verb_focus,Hanako said: Laura didn't MUTTERE that Brandon broke his laptop.,Scott said: Then what did Laura mutter that Brandon broke?,"What Brandon broke, according to Laura.",The way Laura said that Brandon broke his laptop.
5,shout,mos_verb_focus,Hanako said: Bill didn't SHOUT that Dan knew the professor.,Scott said: Then who did Bill shout that Dan knew?,"Who Dan knew, according to Bill.",The way Bill said that Dan knew the professor.
6,scream,mos_verb_focus,Hanako said: Amy didn't SCREAM that Charlie saw the robber.,Scott said: Then who did Amy scream that Charlie saw?,"Who Charlie saw, according to Amy.",The way Amy said that Charlie saw the robber.
7,yell,mos_verb_focus,Hanako said: Jake didn't YELL that Yumi found the wallet.,Scott said: Then what did Jake yell that Yumi found?,"What Yumi found, according to Jake.",The way Jake said that Yumi found the wallet.
8,groan,mos_verb_focus,Hanako said: Ashley didn't GROAN that Hasan talked to the detectives.,Scott said: Then who did Ashley groan that Hasan talked to?,"Who Hasan talked to, according to Ashley.",The way Ashley said that Hasan talked to the detectives.
9,whine,mos_verb_focus,Hanako said: Yash didn't WHINE that Ming forgot her phone. ,Scott said: Then what did Yash whine that Ming forgot?,"What Ming forgot, according to Yash.",The way Yash said that Ming forgot her phone.
10,murmur,mos_verb_focus,Hanako said: Fatima didn't MURMUR that Omar had dinner with his manager.,Scott said: Then who did Fatima murmur that Omar had dinner with?,"Who Omar had dinner with, according to Fatima.",The way Fatima said that Omar had dinner with his manager.
11,shriek,mos_verb_focus,Hanako said: Igor didn't SHRIEK that Penny won the lottery.,Scott said: Then what did Igor shriek that Penny won?,"What Penny won, according to Igor.",The way Igor said that Penny won the lottery.
